City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Xining,CN,36.6167,101.7667,46.78,36,0,3.09,clear sky
258,Longyearbyen,SJ,78.2186,15.6401,1.4,78,20,6.91,few clouds
259,Sinnamary,GF,5.3833,-52.95,73.78,97,100,6.04,light rain
260,Beruwala,LK,6.4788,79.9828,79.61,78,74,8.19,broken clouds
261,Tuatapere,NZ,-46.1333,167.6833,59.0,81,99,11.99,light rain
262,Samarai,PG,-10.6167,150.6667,84.0,73,95,10.11,overcast clouds
263,Mount Gambier,AU,-37.8333,140.7667,62.6,48,90,14.97,overcast clouds
264,Sungaipenuh,ID,-2.0833,101.3833,76.03,76,92,2.46,overcast clouds
265,Puri,IN,19.8,85.85,95.0,29,0,5.75,haze
266,San Quintin,MX,30.4833,-115.95,56.97,39,0,5.61,clear sky
267,San Patricio,US,28.017,-97.5169,50.0,93,1,3.56,clear sky
268,Talnakh,RU,69.4865,88.3972,-20.63,77,0,9.46,clear sky
269,Lorengau,PG,-2.0226,147.2712,82.13,76,100,12.75,overcast clouds
270,General Pico,AR,-35.6566,-63.7568,67.64,73,0,2.95,clear sky
271,Matagami,CA,49.7502,-77.6328,1.4,85,1,3.44,clear sky
272,Tema,GH,5.667,-0.0166,82.4,89,40,5.75,mist
273,Amapa,BR,1.0,-52.0,70.32,98,100,1.54,overcast clouds
274,Along,IN,28.1667,94.7667,83.37,26,1,2.64,clear sky
275,Iqaluit,CA,63.7506,-68.5145,-14.01,63,20,28.77,snow
276,Pacific Grove,US,36.6177,-121.9166,50.0,81,1,1.34,clear sky
277,Loreto,MX,22.2667,-101.9667,50.16,84,0,2.75,clear sky
278,Pisco,PE,-13.7,-76.2167,75.2,78,90,3.44,overcast clouds
279,Jardim,BR,-21.4803,-56.1381,70.7,95,10,3.13,clear sky
280,Chimore,BO,-16.9833,-65.1333,72.46,94,94,0.6,overcast clouds
281,Novaya Ladoga,RU,60.1025,32.3019,32.0,43,65,11.99,broken clouds
282,Sfantu Gheorghe,RO,45.8667,25.7833,39.99,71,94,3.83,overcast clouds
283,Caravelas,BR,-17.7125,-39.2481,73.78,90,100,2.55,overcast clouds
284,Cayenne,GF,4.9333,-52.3333,73.0,100,90,14.67,mist
285,Severo-Kurilsk,RU,50.6789,156.125,23.54,94,100,41.65,light snow
286,Tilichiki,RU,60.4667,166.1,-4.95,94,100,11.36,snow
287,Dingle,PH,10.9995,122.6711,84.38,59,52,13.87,moderate rain
288,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.4,58,40,4.61,scattered clouds
289,Karratha,AU,-20.7377,116.8463,87.26,58,33,14.03,scattered clouds
290,Charters Towers,AU,-20.1,146.2667,89.62,44,59,19.24,broken clouds
291,Nalut,LY,30.3333,10.85,50.76,64,0,23.11,clear sky
292,Miracema Do Tocantins,BR,-9.5618,-48.3967,71.64,93,96,1.95,overcast clouds
293,Salinopolis,BR,-0.6136,-47.3561,77.09,87,96,8.14,overcast clouds
294,Husavik,IS,66.0449,-17.3389,28.4,86,90,3.44,overcast clouds
295,Abnub,EG,27.2696,31.1511,53.6,71,0,14.97,clear sky
296,Zheleznodorozhnyy,RU,55.7503,38.0042,32.0,55,0,13.42,clear sky
297,Riyadh,SA,24.6877,46.7219,66.2,30,90,12.66,light rain
298,Mlowo,TZ,-9.0,32.9833,69.15,87,94,2.68,light rain
299,Marrakesh,MA,31.6315,-8.0083,46.4,93,20,1.14,few clouds
300,Edgewater,US,28.9889,-80.9023,63.0,94,90,4.61,mist
301,Provideniya,RU,64.3833,-173.3,1.4,71,0,15.66,clear sky
302,Port Lincoln,AU,-34.7333,135.8667,66.67,57,0,17.72,clear sky
303,Trapani,IT,37.8333,12.6667,57.0,93,20,4.61,few clouds
304,Omboue,GA,-1.5746,9.2618,80.15,86,100,6.64,overcast clouds
305,Maun,BW,-19.9833,23.4167,71.6,83,0,6.91,clear sky
306,Tutoia,BR,-2.7619,-42.2744,76.73,88,100,8.55,overcast clouds
307,Emerald,AU,-23.5333,148.1667,98.6,12,83,14.97,broken clouds
308,La Asuncion,VE,11.0333,-63.8628,72.84,87,5,9.51,clear sky
309,Victor Harbor,AU,-35.5667,138.6167,73.0,56,0,13.69,clear sky
310,Cururupu,BR,-1.8283,-44.8683,72.82,95,92,2.15,overcast clouds
311,Hammerfest,NO,70.6634,23.6821,26.6,68,75,12.66,light snow
312,Saint-Augustin,CA,51.226,-58.6502,6.57,93,4,3.44,clear sky
313,Tarata,BO,-17.6167,-66.0167,59.0,67,75,5.75,broken clouds
314,Taldan,RU,53.6667,124.8,1.09,90,100,3.02,overcast clouds
315,Nikki,BJ,9.9401,3.2108,74.14,22,100,3.29,overcast clouds
316,Namibe,AO,-15.1961,12.1522,74.52,76,88,3.91,overcast clouds
317,Pacifica,US,37.6138,-122.4869,53.6,54,90,9.22,overcast clouds
318,Umm Lajj,SA,25.0213,37.2685,72.81,46,0,13.2,clear sky
319,Rovaniemi,FI,66.5,25.7167,26.6,93,75,8.05,light snow
320,Scarborough,GB,54.2797,-0.4044,35.01,94,97,2.17,overcast clouds
321,Gorin,RU,51.1983,136.6669,14.79,91,32,7.78,scattered clouds
322,Sheridan,US,44.8333,-106.9173,28.99,80,1,3.71,clear sky
323,Whitianga,NZ,-36.8333,175.7,68.0,96,100,5.99,light rain
324,Juneau,US,58.3019,-134.4197,35.6,80,90,18.41,light rain
325,Verkhnevilyuysk,RU,63.4453,120.3167,-20.24,85,100,4.23,overcast clouds
326,Ulaangom,MN,49.9811,92.0667,9.41,88,100,4.18,overcast clouds
327,Pietersburg,ZA,-23.9045,29.4688,66.2,72,20,1.14,few clouds
328,Madison,US,34.7334,-86.5667,43.0,100,90,3.22,overcast clouds
329,Diu,IN,20.7141,70.9822,88.47,17,0,6.76,clear sky
330,Tarko-Sale,RU,64.9225,77.785,1.56,91,100,23.96,overcast clouds
331,Keti Bandar,PK,24.1447,67.4497,82.54,46,0,14.61,clear sky
