City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Castro,BR,2021-02-24 16:25:33,-24.7911,-50.0119,75.97,77,11,3.47
275,Kitimat,CA,2021-02-24 16:25:34,54.0524,-128.6534,30.99,95,100,2.1
276,Arraial Do Cabo,BR,2021-02-24 16:25:34,-22.9661,-42.0278,87.8,62,0,9.22
277,Santa Rosalia,MX,2021-02-24 16:25:34,27.3167,-112.2833,68.94,26,35,1.9
278,Ahipara,NZ,2021-02-24 16:25:34,-35.1667,173.1667,62.96,88,61,5.68
279,Gari,RU,2021-02-24 16:25:34,59.4307,62.3497,-18.06,88,48,7.56
280,Marzuq,YE,2021-02-24 16:25:34,14.4,46.4667,67.33,69,0,9.08
281,Safaga,EG,2021-02-24 16:25:34,26.7292,33.9365,71.6,40,40,19.57
282,Alofi,NU,2021-02-24 16:25:35,-19.0595,-169.9187,69.8,100,100,2.3
283,Naron,ES,2021-02-24 16:25:35,43.5167,-8.1528,64.4,45,0,13.8
284,Antofagasta,CL,2021-02-24 16:25:35,-23.65,-70.4,75.99,60,20,12.66
285,Mastic Beach,US,2021-02-24 16:25:35,40.7668,-72.8521,50.0,46,1,9.22
286,Jasper,US,2021-02-24 16:25:35,37.2001,-94.3502,52.0,43,1,16.11
287,Okotoks,CA,2021-02-24 16:25:35,50.7289,-113.9828,19.0,70,0,4.0
288,Sawakin,SD,2021-02-24 16:25:35,19.1059,37.3321,72.32,59,0,15.55
289,Umm Lajj,SA,2021-02-24 16:25:35,25.0213,37.2685,68.95,58,9,15.35
290,Morondava,MG,2021-02-24 16:25:36,-20.2833,44.2833,83.01,73,23,7.85
291,Pimentel,PE,2021-02-24 16:25:36,-6.8367,-79.9342,84.2,48,0,5.75
292,Katsuura,JP,2021-02-24 16:25:36,35.1333,140.3,42.8,39,40,17.27
293,Gaoual,GN,2021-02-24 16:25:36,11.75,-13.2,104.92,7,0,5.82
294,Talas,TR,2021-02-24 16:25:37,38.6908,35.5538,42.8,56,40,3.44
